Country,CSSSA LEGAL?,DATE OF DECRIM,MAX PENALTY,CONST.,BROAD PROT.,EMPLOY.,HATE CRIME,INCITEMENT,BAN CONV. THERAPIES,SAME SEX MARRIAGE,CIVIL UNIONS,JOINT ADOPTION,SECOND PARENT ADOPTION
Algeria,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Angola,YES,2021,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Benin,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Botswana,YES,2019,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Burkina Faso,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Burundi,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cameroon,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cabo Verde,YES,2004,-,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
Central Africa Republic,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chad,NO,-,2,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Comoros,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Congo,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cï¿½te d'Ivoire,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
DRC,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Djibouti,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Egypt,DE FACTO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Equatorial Guinea,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Eritrea,NO,-,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Eswatini,NO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ethiopia,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gabon,YES,2020,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gambia,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ghana,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Guinea,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Guinea-Bissau,YES,1993,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kenya,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lesotho,YES,2012,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Liberia,NO,-,1,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Libya,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Madagascar,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Malawi,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mali,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mauritania,NO,-,DEATH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mauritius,NO,-,5,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
Morocco,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mozambique,YES,2015,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Namibia,NO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Niger,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Nigeria,NO,-,VARIES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rwanda,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sao Tome & Principe,YES,2012,-,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
Senegal,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Seychelles,YES,2016,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Sierra Leone,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Somalia,NO,-,DEATH (P),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
South Africa,YES,1998,-,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
South Sudan,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sudan,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tanzania,NO,-,FOR LIFE,NO,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO
Togo,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tunisia,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Uganda,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Zambia,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Zimbabwe,NO,-,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Antigua and Barbuda,NO,-,15,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Argentina,YES,1903,-,NO,LIMITED,LIMITED,YES,NO,LIMITED,YES,YES,YES,YES
Bahamas,YES,1991,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Barbados,NO,-,FOR LIFE,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Belize,YES,2016,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bolivia,YES,1832,-,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
Brazil,YES,1831,-,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Chile,YES,1999,-,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO
Colombia,YES,1981,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Costa Rica,YES,1971,-,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES
Cuba,YES,1979,-,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Dominica,NO,-,10,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Dominican Republic,YES,1822,-,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO,NO
Ecuador,YES,1997,-,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
El Salvador,YES,1826,-,NO,NO,LIMITED,YES,NO,NO,NO,NO,NO,NO
Grenada,NO,-,10,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Guatemala,YES,1834,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Guyana,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Haiti,YES,1791,-,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Honduras,YES,1899,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Jamaica,NO,-,10,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO,NO
Mexico,YES,1872,-,YES,YES,YES,LIMITED,YES,LIMITED,YES,LIMITED,LIMITED,LIMITED
Nicaragua,YES,2008,-,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
Panama,YES,2008,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Paraguay,YES,1990,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Peru,YES,1924,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Saint Kitts & Nevis,NO,-,10,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Saint Lucia,NO,-,10,NO,NO,YES,LIMITED,NO,NO,NO,NO,NO,NO
Saint Vinc. & the Gren.,NO,-,10,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Suriname,YES,1869,-,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO
Trinidad and Tobago,YES,2018,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Uruguay,YES,1934,-,NO,YES,YES,YES,YES,LIMITED,YES,YES,YES,YES
Venezuela,YES,1836,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Canada,YES,1969,-,NO,YES,YES,YES,YES,LIMITED,YES,YES,YES,YES
United States,YES,1962-2003,-,NO,LIMITED,YES,YES,NO,LIMITED,YES,LIMITED,YES,YES
Afghanistan,NO,-,DEATH (P),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bahrain,YES,1976,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bangladesh,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bhutan,NO,-,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Brunei Darussalam,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cambodia,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
China,YES,1997,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
East Timor,YES,1975,-,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
India,YES,2018,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Indonesia1,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Iraq,DE FACTO,,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Iran,NO,-,DEATH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Israel,YES,1988,-,NO,YES,YES,NO,LIMITED,NO,NO,YES,YES,YES
Japan,YES,1882,-,NO,LIMITED,LIMITED,NO,NO,NO,NO,LIMITED,NO,NO
Jordan,YES,1951,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kazakhstan,YES,1998,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kuwait,NO,-,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kyrgyzstan,YES,1998,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Laos,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lebanon,NO,-,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Malaysia,NO,-,20,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Maldives,NO,-,8,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mongolia,YES,1961,-,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
Myanmar,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Nepal,YES,2007,-,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
North Korea,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Oman,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pakistan,NO,-,DEATH (P),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Philippines,YES,1870,-,NO,LIMITED,LIMITED,NO,NO,NO,NO,NO,NO,NO
Qatar,NO,-,DEATH (P),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Saudi Arabia,NO,-,DEATH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Singapore,NO,-,2,NO,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO
South Korea,YES,NEVER CRIM,-,NO,LIMITED,LIMITED,NO,NO,NO,NO,NO,NO,NO
Sri Lanka,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Syria,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tajikistan,YES,1998,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Thailand,YES,1957,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Turkmenistan,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Vietnam,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
United Arab Emirates,NO,-,DEATH (P),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Uzbekistan,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Yemen,NO,-,DEATH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Albania,YES,1995,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Andorra,YES,1990,-,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES
Armenia,YES,2003,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Austria,YES,1971,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Azerbaijan,YES,2000,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,YES,1994,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belgium,YES,1795,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Bosnia & Herzegovina,YES,1991-2003,-,NO,YES,YES,YES,LIMITED,NO,NO,NO,NO,NO
Bulgaria,YES,1968,-,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO
Croatia,YES,1977,-,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO
Cyprus,YES,1998,-,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO
Czech Republic,YES,1962,-,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO
Denmark,YES,1933,-,NO,LIMITED,YES,YES,YES,NO,YES,NO,YES,YES
Estonia,YES,1992,-,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES
Finland,YES,1971,-,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
France,YES,1791,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Georgia,YES,2000,-,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
Germany,YES,1968-1969,-,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES
Greece,YES,1951,-,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO
Hungary,YES,1962,-,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO
Iceland,YES,1940,-,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES
Ireland,YES,1993,-,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES
Italy,YES,1890,-,NO,LIMITED,YES,NO,NO,NO,NO,YES,NO,NO
Latvia,YES,1992,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Liechtenstein,YES,1989,-,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO
Lithuania,YES,1993,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Luxembourg,YES,1795,-,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES
Malta,YES,1973,-,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Moldova,YES,1995,-,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO
Monaco,YES,1793,-,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO
Montenegro,YES,1977,-,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO
Netherlands,YES,1811,-,NO,YES,YES,LIMITED,YES,NO,YES,YES,YES,YES
North Macedonia,YES,1996,-,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
Norway,YES,1972,-,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES
Poland,YES,1932,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Portugal,YES,1983,-,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
Romania,YES,1996,-,NO,YES,YES,YES,LIMITED,NO,NO,NO,NO,NO
Russia,YES,1993,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
San Marino,YES,2004,-,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES
Serbia,YES,1994,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Slovakia,YES,1962,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Slovenia,YES,1977,-,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES
Spain,YES,1979,-,NO,YES,YES,YES,YES,LIMITED,YES,YES,YES,YES
Sweden,YES,1944,-,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES
Switzerland,YES,1942,-,NO,LIMITED,YES,NO,YES,NO,NO,YES,NO,YES
Turkey,YES,1858,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ukraine,YES,1991,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
United Kingdom,YES,1967-1982,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Australia,YES,1975-1997,-,NO,YES,YES,LIMITED,YES,LIMITED,YES,YES,YES,YES
Fiji,YES,2010,-,YES,YES,YES,NO,LIMITED,LIMITED,NO,NO,NO,NO
Kiribati,NO,-,14,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Marshall Islands,YES,2005,-,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
Micronesia,YES,NEVER CRIM,-,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
Nauru,YES,2016,-,NO,NO,NO,NO,NO,LIMITED,NO,NO,NO,NO
New Zealand,YES,1986,-,NO,YES,YES,YES,LIMITED,NO,YES,YES,YES,YES
Palau,YES,2014,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Papua New Guinea,NO,-,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Samoa,NO,-,7,NO,NO,YES,YES,NO,LIMITED,NO,NO,NO,NO
Solomon Islands,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tonga,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tuvalu,NO,-,14,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Vanuatu,YES,NEVER CRIM,-,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO,NO
American Samoa (USA),YES,1980,-,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO
Anguilla (UK),YES,2001,-,N/A,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Aruba (NL),YES,1869,-,N/A,YES,YES,NO,YES,NO,NO,YES,NO,NO
Bermuda (UK),YES,1994,-,N/A,YES,YES,YES,YES,NO,NO,NO,YES,YES
Bonaire (NL),YES,1869,-,N/A,YES,YES,NO,YES,NO,YES,YES,NO,NO
British Indian Terr. (UK),YES,NEVER CRIM,-,N/A,NO,YES,NO,NO,NO,YES,NO,NO,NO
British Virgin Islands (UK),YES,2001,-,N/A,YES,YES,LIMITED,NO,NO,NO,NO,NO,NO
Cayman Islands (UK),YES,2001,-,N/A,NO,NO,NO,NO,NO,NO,YES,NO,NO
Cook Islands (NZ),NO,-,5,N/A,NO,YES,NO,NO,NO,NO,NO,NO,NO
Curacao (NL),YES,1869,-,N/A,YES,YES,NO,YES,NO,NO,NO,NO,NO
Falkland/Malv. (UK/AR),YES,1989,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Faroe Islands (DN),YES,1933,-,N/A,NO,YES,NO,NO,NO,YES,NO,YES,YES
French Guiana (FR),YES,1817,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
French Polynesia (FR),YES,NEVER CRIM,-,N/A,YES,YES,YES,YES,NO,YES,NO,YES,YES
Gibraltar (UK),YES,1993,-,N/A,YES,YES,YES,NO,NO,YES,YES,YES,YES
Greenland (DN),YES,1933,-,N/A,NO,NO,NO,YES,NO,YES,NO,YES,YES
Guadeloupe (FR),YES,1816,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Guam (USA),YES,1977,-,N/A,NO,YES,NO,NO,NO,YES,NO,YES,YES
Guernsey (UK),YES,1983,-,N/A,NO,NO,YES,NO,NO,YES,YES,YES,YES
Hong Kong (SAR China),YES,1991,-,N/A,NO,LIMITED,NO,NO,NO,NO,NO,NO,NO
Isle of Man (UK),YES,1992,-,N/A,YES,YES,YES,NO,NO,YES,YES,YES,YES
Jersey (UK),YES,1990,-,N/A,YES,YES,NO,NO,NO,YES,YES,YES,YES
Kosovo,YES,1994,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Macau (China),YES,1996,-,N/A,NO,YES,NO,NO,NO,NO,NO,NO,NO
Martinique (FR),YES,1815,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Mayotte (FR),YES,NEVER CRIM,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Montserrat (UK),YES,2001,-,N/A,YES,YES,LIMITED,NO,NO,NO,NO,NO,NO
New Caledonia (FR),YES,NEVER CRIM,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Niue (NZ),YES,2007,-,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO
North. Mariana Is. (USA),YES,1983,-,N/A,NO,LIMITED,NO,NO,NO,YES,NO,YES,YES
Palestine2,YES,1951,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pitcairn Islands (UK),YES,2001,-,N/A,YES,YES,YES,NO,NO,YES,YES,YES,YES
Puerto Rico (USA),YES,2003,-,N/A,NO,YES,YES,NO,YES,YES,NO,YES,YES
Reunion (FR),YES,1791,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Saba (NL),YES,1869,-,N/A,YES,YES,NO,YES,NO,YES,YES,NO,NO
Saint Barthelemy (FR),YES,1878,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Saint Martin (FR),YES,1791,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Saint Pierre et Miq. (FR),YES,1814,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
Sint Eustatius (NL),YES,1869,-,N/A,YES,YES,NO,YES,NO,YES,YES,NO,NO
Sint Maarten (NL),YES,1869,-,N/A,YES,YES,NO,YES,NO,NO,NO,NO,NO
South Georg. & Sand. (UK),YES,2001,-,N/A,NO,YES,NO,NO,NO,YES,NO,-,-
St. Helena, Asc., TdA (UK),YES,2001,-,N/A,YES,YES,NO,LIMITED,NO,YES,NO,YES,YES
Taiwan (China),YES,1912,-,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES
Tokelau (NZ),YES,2007,-,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO
Turks and Caicos (UK),YES,2001,-,N/A,YES,YES,NO,NO,NO,NO,NO,NO,NO
US Virgin Islands (USA),YES,1985,-,N/A,NO,NO,YES,NO,NO,YES,NO,YES,YES
Vatican City,YES,1890,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Wallis and Futuna (FR),YES,NEVER CRIM,-,N/A,YES,YES,YES,YES,NO,YES,YES,YES,YES
